AAR Insurance Kenya,AAR are white collar  conmen.they commit to pay but on the day of  settlement;they refuse to pay and send you from one staff to another and all act  that we are in meeting..call  so and so..they 're just callous 
AAR Insurance Kenya,AAR Insurance services are great and their prompt payments to the providers makes the clients get quick service. The AAR credit service also makes securing the AAR insurance easier. The installment payment is a boost.
AAR Insurance Kenya,"AAR is expensive, the staff do not fully understand the products and the issues covered are limited in terms of practitioners and services. How can you have a limit of 7000 spend for outpatient. If I'm sick how do you expect me to then find time AGAIN to go to hospital????? I can't wait for my cover to expire"
AAR Insurance Kenya,AAR is slow to respond to request even those that adds to its income. As corporate client speed is of essence to us and ensuring our staffs are well covered at all times. 
AAR Insurance Kenya,"Continue the good work, but try to communicate to clients from time to time to update them and rectify any issues raised on time. I commend Judith for her outstanding work and reaching out to her clients on timely manner."
AAR Insurance Kenya,"Do not seem to value your customers. Your call centre attendants are extremely unprofessional. Systems are inefficient (paediatrician schedule is erratic, some general practitioners have a poor rapport with kids, which is very discouraging for parents)."
AAR Insurance Kenya,Faster service between seeing the doctor on call & the pharmacy. Especially when ill the waiting period is to long.
AAR Insurance Kenya,"Good work, keep it up!"
AAR Insurance Kenya,"I am disappointed by how the customer care team handled my query. The service they offer is highly sensitive & personal, the customer care team should be more empathetic.\
My beneficiary was denied care because of an oversight by their own team & was forced to go to another clinic to get treatment at a fee even though we have insurance. AAR should do better."
AAR Insurance Kenya,"I like the clean environment at AAR and the staff are good too. I would be happier though if things would be done slightly faster as it will show a sense of urgency and concern for my well being. All the same, keep up with the good job."
AutoXpress, I had a burst tyre and I came to auto xpress and they managed to fix it in less than 20 minutes wow
AutoXpress, I had a very pleasant experience and I would recommend the auto express to all my friends
AutoXpress,A wonderful marketer . This ladyTahira just amazingly excellent with customers. So impressed.
AutoXpress,Acknowledging repeat customers 
AutoXpress,Am okay with the services. 
AutoXpress,Ambience good humour warm and patient 
AutoXpress,Availing free Wi-Fi would be great for customers who have to wait in queue
AutoXpress,Because I get the best service from this branch in comparison to other branches at their the region 
AutoXpress,"Being my first time here,I dint know my way around but with the warm reception from the staff,everything went perfectly. They all seem professional. I have no reason to complain or not recommend someone to you...looking forward to my next visit."
AutoXpress,Please keep time. I waited for too long
Diamond Trust Bank Kenya,"#Csweek2017\
#DTBCares\
I really love DTB very much, I was sent by my boss to deposit cash, but funny enough I didn't know where to start or end, when I entered I was stranded but the manager noticed from his office and customers care people also noticed from where they were attending the clients, they started by a nice smile approach and greetings, which was friendly that I remember up to date, they showed me step by step and I was happy, their customers are sharp even you ask them a question they have the answers in their finger tips, services are amazing. I love the way juma and Natasha keep us updated on social pages, answering questions, making people understand DTB bank services available and offered. May God bless you all. "
Diamond Trust Bank Kenya,All their services I  have experienced are good
Diamond Trust Bank Kenya,Convenient branch time. Great service levels. Helpful staff….amazing with kids :)
Diamond Trust Bank Kenya,EXCELLENT SERVICES ESPECIALLY THE CONTACT CENTRE STAFF ARE ON POINT! 
Diamond Trust Bank Kenya,"for the 5 years that i have banked with you, i have not experienced any negative feedback. \
the only thing i wold wish for you to consider, is personal loans based on our statements. at times i have needed educational loans but i couldnt get it but i have not divorced you yet\
"
Diamond Trust Bank Kenya,I can bank thru the week..staff are great
Diamond Trust Bank Kenya,"Only if the staff would be faster enough, and also some branches lack enough customer waiting seats, improve on that but you still the greatest bank in Kenya today "
Diamond Trust Bank Kenya,Quick quality service especially RTGS
Diamond Trust Bank Kenya,The service I get every time I visit  your branches I get certified. Customer care is Very Good.
Diamond Trust Bank Kenya,the staff should improve on product knowledge
FauluKenya,Am comfortable transacting and doing businesses using Faulu Bank limited services...Deposits and withdrawal using my phone easily makes to to fall in love with Faulu
FauluKenya,Am not a member yet u keep sending those annoying sms 
FauluKenya,Customer service is poor. The numbers provided on the website aren't working. Social media messages are never replied
FauluKenya,"First& foremost is to thank the faulu management for the excellent services& quick you offer to us.\
Concern.\
How can I get a loan to start a business without being told to submit security.is it possible? And if so how to go about it."
FauluKenya,"I've had a very bad customer experience in paying my loan. Not just at my branch but with 'Faulu' generally. They have No honest and truthful communication, No transparency, loan never seems to reduce, Instant and huge arrears on the spot. Kindly be transparent on how you do your business!"
FauluKenya,Lower interest rates like the other banks did
FauluKenya,"On communication you as banking institution you should do something unique from others eg you find others notifies their customers their accounts flow and more information.\
"
FauluKenya,Review interest rates
FauluKenya,"You compare quite well with other  quality banks  give us better returns for our money\
"
FauluKenya,"Your visa card has high charges, minimum withdrawal using card is law, and banking hall charges are the worst. "
Guaranty Trust Bank,"...nice quiet bank. Staff excellent, very helpful and most importantly proactive. "
Guaranty Trust Bank,"Excellent E-channels easy to use, minimal network down times."
Guaranty Trust Bank,"Good and prompt service from courteous staff, and hardly and queues "
Guaranty Trust Bank,"GT Bank offers a variety of products especially with corporate Accounts. Visiting the Bank premises in Nanyuki, the service is great and Internet banking & Mobile banking services are reliable hence, I would easily recommend the Bank.\
Thank you."
Guaranty Trust Bank,Quality of service is not consistence and not the same across the branch. Need to improve on communication and the quality of the same
Guaranty Trust Bank,"Simply  Idont understand your core areas of service, Just that your halls are never busy does not mean your service is good coz when I get a few pple then I discover ucan really b slow. I almost lost my car at Mombasa port coz you refused to clear for me I pay after a month wholesome because of a delayed cheque.\
3.One of your staff on Bamburi road brach told me you give loans to corporates not hustlers! I wondered why I have bn banking there for more than 10yrs. I'm glad now that I have no money in your bank. "
Guaranty Trust Bank,The poor branch network and short banking hours make it an inconvenient bank to work with. FX rates are poor even for long time customers - it's tiresome to have to fight for rates offered easily at FX Bureaus for international transfers and drafts. No appreciation for customers
Guaranty Trust Bank,"Reduce bank charges\
Better interest rates\
\
\
"
Guaranty Trust Bank,Staff who follow up to the end
Guaranty Trust Bank,"The branch is well done, ACs should be looked into, staff are friendly. More products to capture the retail market in Kenya"
